,p-value,chi-square value
0,0.7565234858294093,20.714957649714577
1,0.7452178243410652,20.936820252206722
2,0.9933843819818512,11.561541163461882
3,0.9942721214901508,11.352185448987713
4,0.705558559071213,21.689518822614325
5,0.6092369728933529,23.417469231514247
6,0.5533162718960244,24.396286432250488
7,0.7647026647022133,20.551997836924613
8,0.9587812043242352,14.919913015010112
9,0.13267873627817928,34.09380365314137
10,0.9011251254044079,17.256632282012063
11,0.4856022279989777,25.593719622292454
12,0.746809215865059,20.90581449490374
13,0.8825201737858588,17.81159293031307
14,0.7827189433140346,20.184798294760732
15,0.0606067436183968,37.99649593155293
16,0.37453067444061505,27.67705514878078
17,0.04461065082261384,39.40167359413301
18,0.7520600069300438,20.802998982444745
19,0.9416427525678243,15.767192248574823
20,0.34798688373339104,28.21445500081195
21,0.8794857620919129,17.89707948536812
22,0.6884500866113215,22.004505891903936
23,0.3111278570695939,28.998996016310173
24,0.788029382524575,20.07415313680202
25,0.08577447205662425,36.329457969786304
26,0.8862339978346736,17.70520525371644
27,0.9633192472013132,14.655144789439637
28,0.27766232392044576,29.76025446760816
29,0.0013225380799972708,53.083009820079475
30,0.8358788042144301,19.01303717241486
31,0.8264940289720434,19.23182890601865
32,0.7893887733597343,20.045637799715003
33,0.8312018319177673,19.122836749798566
34,0.47142275458971583,25.849109164484155
35,0.6297961786358177,23.055661295947267
36,0.910806935774622,16.942594098235592
37,0.42863568802535124,26.635492493574265
38,0.6100058821691752,23.403973448701876
39,0.708797241740647,21.62931580311647
40,0.006152769331242869,47.50978221448438
41,0.30388392512412876,29.159387984745617
42,0.5321776888294107,24.767272552087096
43,0.20980460500859754,31.510483107173258
44,0.6921833079264802,21.93618243052692
45,0.5400292326126639,24.62928131903547
46,0.9037124901992706,17.17462804840958
47,0.5557307267124892,24.354002474501904
48,0.998534549168269,9.63369788208702
49,0.8442097985718141,18.81341797571785
50,0.3386268766683088,28.40909316116367
51,0.9906100255083439,12.097469026261777
52,0.14442142391978052,33.63656415341379
53,0.9069778136150538,17.06918878460814
54,0.7286181353517037,21.25625970526699
55,0.7237499749591844,21.34866747036102
56,0.015871670014095063,43.80261476037463
57,0.41443352847179504,26.902998631863998
58,0.2953512978608732,29.351284937481726
59,0.9952026534710191,11.102827225093762
60,0.5679165979098622,24.14075980540762
61,0.5616580135003943,24.250250781583564
62,0.7775268238267594,20.29187059595824
63,0.055222841939975065,38.42903956623397
64,0.08290381021293736,36.49680323432448
65,0.9072198809260219,17.061282281890477
66,0.7001912655235146,21.788869548270114
67,0.444586668193387,26.33919317225654
68,0.37687494932603915,27.630536795617633
69,0.5264411584521458,24.868276186328323
70,0.6735895574657638,22.274471836075694
71,0.8481641633887147,18.716726791002642
72,0.5767945365202929,23.98549788112684
73,0.5132722153928535,25.10085176053772
74,0.9378551179722634,15.930736143291258
75,0.35945360253621095,27.97979102382847
76,0.5175372958567342,25.02540824703052
77,0.5943961014657595,23.67757476381613
78,0.6809594446182379,22.14096837822406
79,0.751754868581856,20.808995873567156
80,0.2176346128244484,31.290304389420882
81,0.5179067579294481,25.018878564261314
82,0.14658366570666048,33.55556845528323
83,0.30097479548290096,29.224443369970434
84,0.5668040805417636,24.160219443439914
85,0.5886326495555113,23.77844188079536
86,0.7899551818359901,20.033732829611104
87,0.36987817217197905,27.769806030814046
88,0.9302675545674775,16.23944956178791
89,0.15829288776843142,33.1323457743928
90,0.4195267017850486,26.80663775087818
91,0.9708038335583936,14.16197827898728
92,0.9045314461605481,17.148392144271646
93,0.5677452213920582,24.143757368271967
94,0.7816816851232828,20.206274337148145
95,0.9361358483514703,16.002781470349937
96,0.6130771865543743,23.350042681697417
97,0.0025238123769544263,50.795016604468884
98,0.27764892929946194,29.760570245293078
99,0.540873109364744,24.614465530963262
100,0.5370997732968457,24.68073548081551
101,0.15508014710051177,33.24599874101997
102,0.5681521876573072,24.136639125521192
103,0.9480234030615536,15.474700264615514
104,0.7094924719404478,21.616366607027437
105,0.3067699748949613,29.095216605588277
106,0.9834429691115748,13.05868542781487
107,0.9599986544624494,14.850989839602697
108,0.015046683067510003,44.018572316879094
109,0.38198889451531504,27.52954733333046
110,0.9255916106152378,16.418863648128497
111,0.7030585955977942,21.73585803345376
112,0.24806715330229956,30.483478566524887
113,0.553186833464766,24.39855366318537
114,0.8163531043568645,19.46176961866966
115,0.838981209198472,18.939323752563595
116,0.8525418892685739,18.6081203095248
117,0.021351250134965527,42.584576952677274
118,0.2927480747469102,29.41050087351203
119,0.6716706430076314,22.309117135380074
120,0.24359545865112475,30.597627918707417
121,0.13953167708179592,33.823280477838765
122,0.5150792292087383,25.06887336211515
123,0.4291236696184251,26.62636550881127
124,0.6476043746962916,22.74012081983743
125,0.7846922487120181,20.14382076742065
126,0.8773571693158017,17.95631056413981
127,0.43490777483194887,26.51849052696958
128,0.5288057342939678,24.82662244076214
129,0.4447489988887965,26.336198479937803
130,0.4128078061750704,26.933861735561944
131,0.7497491508772594,20.84834608299511
132,0.7101396802976029,21.60430354081072
133,0.5648426980691618,24.194530188574426
134,0.4460477390427592,26.312253468280286
135,0.2872572583687487,29.536472707495218
136,0.8310460144861374,19.126468248104878
137,0.9604804463870438,14.823305990352718
138,0.4413916091997493,26.398217721343862
139,0.8078512390900113,19.649888542997484
140,0.9359837135768143,16.009094344246634
141,0.13757642384798008,33.899378787398156
142,0.45321518922551873,26.18055129136629
143,0.26519985433614734,30.05836986534848
144,0.1797271966750008,32.41585610004894
145,0.9223172302167817,16.54020260204765
146,0.7944021807380365,19.9397694726395
147,0.6909188124024352,21.959348769675373
148,0.4323001650756715,26.567053416755915
149,0.6005113232798236,23.570474954166365
150,0.31229329525756655,28.973398721050568
151,0.8566864178322052,18.503700663928832
152,0.14517451481353305,33.608247534814076
153,0.6625789481091864,22.472665576550725
154,0.8604594562321879,18.407212460983445
155,0.7228319998802055,21.366032645524452
156,0.31176255368757233,28.985048764211705
157,0.42508067495861923,26.702109318378902
158,0.5335984127578389,24.74228290451258
159,0.8165886523812631,19.456499486469692
160,0.7080275063704584,21.64364200628735
161,0.5571784283743323,24.32865543670523
162,0.6510979205931035,22.6779172556884
163,0.08473625225762416,36.38943170977505
164,0.5894518429367855,23.764108439032594
165,0.9928758016972165,11.67159747908943
166,0.967497538881066,14.389876572310929
167,0.88506449720292,17.738922586287316
168,0.9783813195467349,13.557588110521763
169,0.8723470453415978,18.093450186415208
170,0.48204959448980744,25.657504624970873
171,0.7679369767097184,20.48694548272791
172,0.22512635048907348,31.084798558933027
173,0.7170737434813039,21.474544070883514
174,0.8706939299907044,18.138030223903236
175,0.6045004938125653,23.500555328727923
176,0.4676382543290921,25.917656344721706
177,0.924468123658606,16.460876920326225
178,0.16046716989301868,33.05642778498121
179,0.8484665115115801,18.70927965457752
180,0.024826966173278064,41.952497274283495
181,0.975164546225572,13.830657515517663
182,0.7427633435833556,20.984504772130087
183,0.6422083225347487,22.835990863478234
184,0.7184230216111085,21.449180874647727
185,0.9249740069720651,16.442009406167653
186,0.8053625033362534,19.704214062835096
187,0.5108210321652358,25.14426589912475
188,0.4344750840016096,26.526540958172724
189,0.02908600094444369,41.278936369008264
190,0.5939216957615544,23.68587973387698
191,0.07726582039042529,36.84016444828308
192,0.7218802878182624,21.38401641609194
193,0.890903525841004,17.56851351777885
194,0.020847494811481737,42.68382934899716
195,0.4956371447559348,25.414215612699987
196,0.7156112753010022,21.50199232987675
197,0.906678199137928,17.078957375726407
198,0.6378038727437287,22.914069211781293
199,0.2863485509852739,29.557463968831215
200,0.7785344369454522,20.27117438265525
201,0.2818244644791421,29.662594502634732
202,0.020660553783755198,42.721216563597494
203,0.7693116505483243,20.45918659710124
204,0.261776413223892,30.14183954720228
205,0.5390262340373829,24.646894432788297
206,0.7621941760503812,20.60220785720377
207,0.5184173529788919,25.009855997428396
208,0.2557303375123394,30.291015212562066
209,0.29349644017347987,29.39344475257769
210,0.9963335138459601,10.740904209750044
211,0.4128466700779634,26.93312333021034
212,0.9641523918114356,14.604043273536378
213,0.715253214002983,21.508705900582097
214,0.4975227558761802,25.380588958313815
215,0.16230471017552128,32.992877672208294
216,0.7824235714136456,20.19091828679736
217,0.4408919552919742,26.40746241135386
218,0.6788391274439558,22.179451504800618
219,0.7480833510035529,20.880938632753523
220,0.8251801273651307,19.26198474536326
221,0.18430942129193306,32.27109312042002
222,0.44043842584663606,26.41585707178963
223,0.6288560488729572,23.072256538134347
224,0.8504656495684174,18.659839879687308
225,0.7623028456762617,20.60003704937162
226,0.27990983020961924,29.70740544785496
227,0.3222800944146387,28.75630344728457
228,0.8225349245530442,19.32235950856084
229,0.7790408823414002,20.26075719542539
230,0.9335221231410566,16.10988792005194
231,0.6289286245858132,23.070975624644856
232,0.27647469372877476,29.788290426401673
233,0.784112422403906,20.155877994121948
234,0.5151603987629749,25.06743743528299
235,0.8630553674570829,18.33999798084196
236,0.44914383410437764,26.25527140108443
237,0.1632061130813236,32.96190350389636
238,0.39792625811862603,27.218876973131295
239,0.6570106818578705,22.572378222070952
240,0.16350618591215837,32.95162123159274
241,0.3767948029302495,27.63212481765722
242,0.9858880815018316,12.774995998272155
243,0.06727369203596689,37.5045776237871
244,0.33984263339783927,28.38364753230863
245,0.9555556213647334,15.09586772484378
246,0.7457389914107342,20.926673914801178
247,0.5914339190575995,23.729423674929905
248,0.5125216519060627,25.114140906172224
249,0.2675366582947152,30.001795376839464
250,0.04086008002267938,39.794557864567885
251,0.9944635908512722,11.303674595496803
252,0.2238085587967178,31.12059682058521
253,0.9688328330294677,14.29995189458067
254,0.5944717596465343,23.67625024480512
255,0.9022527759617223,17.22105512401514
256,0.5374217358934409,24.675078667071297
